,train,val,test
0,case_22,case_101,case_80
1,case_186,case_119,case_127
2,case_79,case_255,case_100
3,case_81,case_203,case_197
4,case_82,case_246,case_223
5,case_83,case_274,case_130
6,case_86,case_133,case_297
7,case_87,case_121,case_105
8,case_89,case_194,case_50
9,case_90,case_286,case_277
10,case_91,case_206,case_216
11,case_95,case_275,case_256
12,case_96,case_134,case_104
13,case_106,case_108,case_276
14,case_112,case_9,case_190
15,case_122,case_20,case_28
16,case_135,case_15,case_32
17,case_140,case_226,case_209
18,case_141,case_229,case_259
19,case_262,case_239,case_116
20,case_289,case_142,case_145
21,case_78,case_99,case_270
22,case_4,case_3,case_54
23,case_31,case_43,case_67
24,case_48,case_24,case_18
25,case_49,case_62,case_29
26,case_198,case_253,case_293
27,case_199,case_178,case_172
28,case_200,case_240,case_291
29,case_201,case_278,case_163
30,case_202,case_287,case_155
31,case_204,case_97,case_156
32,case_217,case_174,case_207
33,case_219,case_245,case_243
34,case_225,case_247,case_269
35,case_231,,
36,case_232,,
37,case_233,,
38,case_281,,
39,case_26,,
40,case_57,,
41,case_71,,
42,case_85,,
43,case_92,,
44,case_98,,
45,case_109,,
46,case_132,,
47,case_137,,
48,case_138,,
49,case_139,,
50,case_143,,
51,case_150,,
52,case_166,,
53,case_205,,
54,case_248,,
55,case_260,,
56,case_261,,
57,case_264,,
58,case_273,,
59,case_288,,
60,case_0,,
61,case_1,,
62,case_39,,
63,case_40,,
64,case_41,,
65,case_44,,
66,case_46,,
67,case_47,,
68,case_51,,
69,case_76,,
70,case_188,,
71,case_195,,
72,case_196,,
73,case_211,,
74,case_222,,
75,case_227,,
76,case_230,,
77,case_234,,
78,case_235,,
79,case_236,,
80,case_237,,
81,case_271,,
82,case_292,,
83,case_295,,
84,case_5,,
85,case_6,,
86,case_14,,
87,case_53,,
88,case_193,,
89,case_84,,
90,case_94,,
91,case_107,,
92,case_111,,
93,case_115,,
94,case_117,,
95,case_124,,
96,case_125,,
97,case_126,,
98,case_128,,
99,case_131,,
100,case_136,,
101,case_148,,
102,case_244,,
103,case_282,,
104,case_283,,
105,case_77,,
106,case_2,,
107,case_12,,
108,case_13,,
109,case_21,,
110,case_25,,
111,case_35,,
112,case_37,,
113,case_42,,
114,case_45,,
115,case_66,,
116,case_70,,
117,case_72,,
118,case_73,,
119,case_184,,
120,case_185,,
121,case_187,,
122,case_189,,
123,case_191,,
124,case_192,,
125,case_152,,
126,case_154,,
127,case_157,,
128,case_161,,
129,case_208,,
130,case_212,,
131,case_213,,
132,case_215,,
133,case_218,,
134,case_220,,
135,case_228,,
136,case_272,,
137,case_23,,
138,case_38,,
139,case_58,,
140,case_88,,
141,case_102,,
142,case_103,,
143,case_110,,
144,case_113,,
145,case_114,,
146,case_118,,
147,case_120,,
148,case_123,,
149,case_129,,
150,case_144,,
151,case_146,,
152,case_147,,
153,case_249,,
154,case_254,,
155,case_258,,
156,case_265,,
157,case_266,,
158,case_267,,
159,case_7,,
160,case_8,,
161,case_10,,
162,case_11,,
163,case_16,,
164,case_17,,
165,case_19,,
166,case_27,,
167,case_30,,
168,case_33,,
169,case_34,,
170,case_36,,
171,case_52,,
172,case_55,,
173,case_56,,
174,case_59,,
175,case_60,,
176,case_61,,
177,case_63,,
178,case_64,,
179,case_65,,
180,case_68,,
181,case_69,,
182,case_74,,
183,case_75,,
184,case_93,,
185,case_149,,
186,case_151,,
187,case_153,,
188,case_158,,
189,case_159,,
190,case_160,,
191,case_162,,
192,case_164,,
193,case_165,,
194,case_167,,
195,case_168,,
196,case_169,,
197,case_170,,
198,case_171,,
199,case_173,,
200,case_175,,
201,case_176,,
202,case_177,,
203,case_179,,
204,case_180,,
205,case_181,,
206,case_182,,
207,case_183,,
208,case_210,,
209,case_214,,
210,case_221,,
211,case_224,,
212,case_238,,
213,case_241,,
214,case_242,,
215,case_250,,
216,case_251,,
217,case_252,,
218,case_257,,
219,case_263,,
220,case_268,,
221,case_279,,
222,case_280,,
223,case_284,,
224,case_285,,
225,case_290,,
226,case_294,,
227,case_296,,
